code,label,type
E40b,Trompbuurt,buurt
E40c,Pieter van der Doesbuurt,buurt
E41,Van Galenbuurt,buurtcombinatie
E41a,John Franklinbuurt,buurt
E41b,Jan Maijenbuurt,buurt
E41c,Orteliusbuurt Noord,buurt
E41d,Mercatorpark,buurt
E42,Hoofdweg e.o.,buurtcombinatie
E42a,Balboaplein e.o.,buurt
E42b,Columbusplein e.o.,buurt
E42c,Orteliusbuurt Midden,buurt
E42d,Orteliusbuurt Zuid,buurt
E43,Westindische Buurt,buurtcombinatie
E43a,Paramariboplein e.o.,buurt
E43b,Postjeskade e.o.,buurt
E75,Chassébuurt,buurtcombinatie
E75a,Kortenaerkwartier,buurt
E75b,Filips van Almondekwartier,buurt
E75c,De Wester Quartier,buurt
E75d,Van Brakelkwartier,buurt
F,Nieuw West,stadsdeel
F11,Bedrijventerrein Sloterdijk,buurtcombinatie
F11a,Sloterdijk II,buurt
F11c,Sloterdijk III Oost,buurt
F11d,Sloterdijk III West,buurt
F11e,De Heining,buurt
F11f,Teleport,buurt
F11h,Bretten Oost,buurt
F11j,Bretten West,buurt
F76,Slotermeer-Noordoost,buurtcombinatie
F76a,Buurt 3,buurt
F76b,Buurt 2,buurt
F77,Slotermeer-Zuidwest,buurtcombinatie
F77a,Slotermeer Zuid,buurt
F77b,Noordoever Sloterplas,buurt
F77c,Buurt 4 Oost,buurt
F77d,Buurt 5 Noord,buurt
F77e,Sloterpark,buurt
F77f,Buurt 5 Zuid,buurt
F78,Geuzenveld,buurtcombinatie
F78a,Buurt 6,buurt
F78b,Buurt 7,buurt
F78c,Buurt 8,buurt
F78d,Buurt 9,buurt
F78e,Eendrachtspark,buurt
F79,de Eendracht,buurtcombinatie
F79a,Osdorper Binnenpolder,buurt
F79b,Buurt 10,buurt
F80,Lutkemeer/Ookmeer,buurtcombinatie
F80a,Ookmeer,buurt
F80b,Osdorper Bovenpolder,buurt
F80c,Bedrijvenpark Lutkemeer,buurt
F81,Osdorp-Oost,buurtcombinatie
F81a,Wildeman,buurt
F81b,Meer en Oever,buurt
F81c,Osdorpplein e.o.,buurt
F81d,Calandlaan/Lelylaan,buurt
F81e,Osdorp Zuidoost,buurt
F82,Osdorp-Midden,buurtcombinatie
F82a,Osdorp Midden Noord,buurt
F82b,Osdorp Midden Zuid,buurt
F82c,Zuidwestkwadrant Osdorp Noord,buurt
F82d,Zuidwestkwadrant Osdorp Zuid,buurt
F83,De Punt,buurtcombinatie
F83a,De Punt,buurt
F83b,Bedrijvencentrum Osdorp,buurt
F84,Middelveldsche Akerpolder,buurtcombinatie
F84a,Middelveldsche Akerpolder,buurt
F84b,De Aker West,buurt
F84c,De Aker Oost,buurt
F85,Slotervaart Noord,buurtcombinatie
F85a,Oostoever Sloterplas,buurt
F85b,Emanuel van Meterenbuurt,buurt
F85c,Jacob Geelbuurt,buurt
F86,Overtoomse Veld,buurtcombinatie
F86a,Overtoomse Veld Noord,buurt
F86b,Overtoomse Veld Zuid,buurt
F86c,Rembrandtpark Noord,buurt
F86d,Rembrandtpark Zuid,buurt
F86e,Johan Jongkindbuurt,buurt
F86f,Lucas/Andreasziekenhuis e.o.,buurt
F87,Westlandgracht,buurtcombinatie
F87a,Koningin Wilhelminaplein,buurt
F87b,Andreasterrein,buurt
F87c,Delflandpleinbuurt Oost,buurt
F87d,Delflandpleinbuurt West,buurt
F87e,Riekerhaven,buurt
F87f,Schipluidenbuurt,buurt
F88,Sloter/Riekerpolder,buurtcombinatie
F88a,Riekerpolder,buurt
F88b,Park Haagseweg,buurt
F88c,Nieuwe Meer,buurt
