"name","city","link",
"Het Klederdrachtmuseum","Amsterdam","https://www.museumkaart.nl/museum/Het+Klederdrachtmuseum.aspx",
"CODA","Apeldoorn","https://www.museumkaart.nl/museum/CODA.aspx",
"Paleis Het Loo","Apeldoorn","https://www.museumkaart.nl/museum/Paleis+Het+Loo.aspx",
"Museum Stad Appingedam","Appingedam","https://www.museumkaart.nl/museum/Museum+Stad+Appingedam.aspx",
"Nederlands Watermuseum","Arnhem","https://www.museumkaart.nl/museum/Nederlands+Watermuseum.aspx",
"Huis Zypendaal","Arnhem","https://www.museumkaart.nl/museum/Huis+Zypendaal.aspx",
"Museum Arnhem","Arnhem","https://www.museumkaart.nl/museum/Museum+Arnhem.aspx",
"Museum Bronbeek","Arnhem","https://www.museumkaart.nl/museum/Museum+Bronbeek.aspx",
"Nederlands Openluchtmuseum","Arnhem","https://www.museumkaart.nl/museum/Nederlands+Openluchtmuseum.aspx",
"Drents Museum","Assen","https://www.museumkaart.nl/museum/Drents+Museum.aspx",
"Museum Klok & Peel","Asten","https://www.museumkaart.nl/museum/Museum+Klok+%26+Peel+.aspx",
"Museum Het Warenhuis - Axel","Axel","https://www.museumkaart.nl/museum/Museum+Het+Warenhuis+-+Axel.aspx",
"Museum Nairac","Barneveld","https://www.museumkaart.nl/museum/Museum+Nairac.aspx",
"Museum de Oude Wolden","Bellingwolde","https://www.museumkaart.nl/museum/Museum+de+Oude+Wolden.aspx",
"Kijk- en Luistermuseum","Bennekom","https://www.museumkaart.nl/museum/Kijk-+en+Luistermuseum.aspx",
"Afrika Museum","Berg en dal","https://www.museumkaart.nl/museum/Afrika+Museum.aspx",
"Kranenburgh","Bergen","https://www.museumkaart.nl/museum/Kranenburgh.aspx",
"Het Sterkenhuis","Bergen nh","https://www.museumkaart.nl/museum/Het+Sterkenhuis.aspx",
"Markiezenhof","Bergen op zoom","https://www.museumkaart.nl/museum/Markiezenhof.aspx",
"Titus Brandsma Museum","Bolsward","https://www.museumkaart.nl/museum/Titus+Brandsma+Museum.aspx",
"Hunebedcentrum","Borger","https://www.museumkaart.nl/museum/Hunebedcentrum.aspx",
"Museum Bussemakerhuis","Borne","https://www.museumkaart.nl/museum/Museum+Bussemakerhuis.aspx",
"Boomkwekerijmuseum","Boskoop","https://www.museumkaart.nl/museum/Boomkwekerijmuseum.aspx",
"Museum Vekemans","Boxtel","https://www.museumkaart.nl/museum/Museum+Vekemans.aspx",
"Stedelijk Museum Breda","Breda","https://www.museumkaart.nl/museum/Stedelijk+Museum+Breda.aspx",
"Visserijmuseum Breskens","Breskens","https://www.museumkaart.nl/museum/Visserijmuseum+Breskens.aspx",
"Historisch Museum Den Briel","Brielle","https://www.museumkaart.nl/museum/Historisch+Museum+Den+Briel.aspx",
"Museum Broeker Veiling","Broek op langedijk","https://www.museumkaart.nl/museum/Museum+Broeker+Veiling.aspx",
"Botanische Tuin De Kruidhof","Buitenpost","https://www.museumkaart.nl/museum/Botanische+Tuin+De+Kruidhof.aspx",
"Museum Oud Amelisweerd","Bunnik","https://www.museumkaart.nl/museum/Museum+Oud+Amelisweerd.aspx",
"Waterliniemuseum","Bunnik","https://www.museumkaart.nl/museum/Waterliniemuseum.aspx",
"Museum Spakenburg","Bunschoten-spakenburg","https://www.museumkaart.nl/museum/Museum+Spakenburg.aspx",
"Marechausseemuseum","Buren","https://www.museumkaart.nl/museum/Marechausseemuseum.aspx",
"Landbouw-Juttersmuseum 'Swartwoude'","Buren-ameland","https://www.museumkaart.nl/museum/Landbouw-Juttersmuseum+%27Swartwoude%27.aspx",
"Observeum Burgum","Burgum","https://www.museumkaart.nl/museum/Observeum+Burgum.aspx",
"Stedelijk Museum Coevorden","Coevorden","https://www.museumkaart.nl/museum/Stedelijk+Museum+Coevorden.aspx",
"Haarlemmermeermuseum De Cruquius","Cruquius","https://www.museumkaart.nl/museum/Haarlemmermeermuseum+De+Cruquius.aspx",
"Elisabeth Weeshuis Museum","Culemborg","https://www.museumkaart.nl/museum/Elisabeth+Weeshuis+Museum.aspx",
"Museum In 't Houten Huis","De rijp","https://www.museumkaart.nl/museum/Museum+In+%27t+Houten+Huis.aspx",
"Museum Waelstee","De waal (texel)","https://www.museumkaart.nl/museum/Museum+Waelstee.aspx",
"Zoutmuseum","Delden","https://www.museumkaart.nl/museum/Zoutmuseum.aspx",
"Botanische Tuin TU Delft","Delft","https://www.museumkaart.nl/museum/Botanische+Tuin+TU+Delft.aspx",
"Museum Paul Tetar van Elven","Delft","https://www.museumkaart.nl/museum/Museum+Paul+Tetar+van+Elven.aspx",
"Museum Prinsenhof Delft","Delft","https://www.museumkaart.nl/museum/Museum+Prinsenhof+Delft.aspx",
"Science Centre Delft","Delft","https://www.museumkaart.nl/museum/Science+Centre+Delft.aspx",
